day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,NUM_COLLISIONS
6,2013,02,16,2013-02-16,37.9,28.0,1012.8,9.6,5.6,11.1,19.0,46.9,33.8,0.02,999.9,0,1,1,0,0,0,449
5,2014,02,07,2014-02-07,27.6,13.5,1024.7,10.0,5.6,11.1,15.9,32.0,24.1,0.0,9.1,0,0,0,0,0,0,675
7,2018,02,25,2018-02-25,42.4,39.8,1017.8,6.5,5.6,12.0,18.1,55.0,39.9,0.58,999.9,0,1,0,0,0,0,448
1,2017,02,20,2017-02-20,50.5,25.4,1019.3,10.0,5.7,13.0,20.0,64.9,43.0,0.0,999.9,0,0,0,0,0,0,428
4,2014,02,27,2014-02-27,24.6,1.3,1007.8,9.7,5.7,12.0,34.0,34.0,19.9,0.03,5.9,0,0,0,0,0,0,571
2,2013,02,19,2013-02-19,39.2,22.4,1017.1,9.3,5.8,11.1,21.0,48.9,32.0,0.0,999.9,0,1,0,0,0,0,477
6,2014,02,22,2014-02-22,46.0,25.8,1014.5,10.0,5.8,11.1,19.0,54.0,41.0,0.09,13.0,0,0,0,0,0,0,587
3,2015,02,25,2015-02-25,27.6,9.5,1010.4,10.0,5.8,9.9,21.0,37.0,19.9,0.0,11.8,0,0,0,0,0,0,628
5,2018,02,23,2018-02-23,37.6,34.1,1036.4,7.4,5.9,11.1,14.0,39.9,35.6,0.17,999.9,0,1,0,0,0,0,548
7,2017,02,19,2017-02-19,59.9,32.1,1007.5,10.0,5.9,12.0,20.0,64.9,54.0,0.0,999.9,0,0,0,0,0,0,438
4,2016,02,18,2016-02-18,32.5,11.5,1027.0,10.0,5.9,9.9,18.1,37.0,27.0,0.0,999.9,0,0,0,0,0,0,592
7,2015,02,08,2015-02-08,35.1,27.6,1013.7,5.9,5.9,13.0,18.1,39.9,25.0,0.02,7.9,0,0,0,0,0,0,394
2,2015,02,24,2015-02-24,12.1,-6.8,1025.2,10.0,6.0,13.0,21.0,21.9,3.9,0.0,11.8,0,0,0,0,0,0,580
1,2017,02,27,2017-02-27,42.2,19.2,1027.1,10.0,6.0,9.9,15.9,53.1,35.1,0.0,999.9,0,0,0,0,0,0,540
6,2016,02,20,2016-02-20,47.7,29.1,1015.3,10.0,6.0,9.9,21.0,61.0,36.0,0.0,999.9,0,0,0,0,0,0,555
4,2018,02,08,2018-02-08,31.0,18.2,1023.5,10.0,6.0,11.1,24.1,45.0,25.0,0.85,999.9,0,0,0,0,0,0,616
4,2015,02,26,2015-02-26,26.8,8.2,1015.6,9.7,6.1,9.9,15.9,37.0,19.9,0.0,11.8,0,0,0,0,0,0,539
5,2014,02,28,2014-02-28,16.5,-8.0,1024.3,10.0,6.1,14.0,24.1,34.0,9.0,0.0,5.9,0,0,0,0,0,0,655
1,2013,02,04,2013-02-04,26.8,10.5,1012.0,9.8,6.2,12.0,28.0,30.0,23.0,0.02,999.9,0,0,0,0,0,0,553
5,2014,02,21,2014-02-21,39.4,36.3,1011.7,2.9,6.3,14.0,28.0,48.2,35.6,0.03,15.0,1,1,0,0,0,0,545
7,2017,02,05,2017-02-05,35.2,13.9,1018.2,10.0,6.3,8.9,24.1,42.1,21.9,0.0,999.9,0,0,0,0,0,0,429
6,2013,02,02,2013-02-02,24.1,6.5,1022.7,10.0,6.3,12.0,19.0,28.9,19.0,0.0,999.9,0,0,0,0,0,0,534
6,2013,02,23,2013-02-23,38.0,34.3,1020.7,5.3,6.3,14.0,22.0,42.1,36.0,0.0,999.9,0,1,0,0,0,0,521
4,2015,02,05,2015-02-05,33.8,16.1,1014.6,10.0,6.3,11.1,22.9,43.0,21.0,0.0,7.9,0,0,0,0,0,0,569
7,2016,02,28,2016-02-28,46.0,21.8,1013.4,10.0,6.4,8.9,20.0,60.1,26.1,0.0,999.9,0,0,0,0,0,0,509
3,2014,02,05,2014-02-05,31.8,27.5,1015.2,4.1,6.4,13.0,24.1,35.1,21.9,0.97,7.9,1,1,1,0,0,0,468
7,2017,02,12,2017-02-12,34.7,28.7,1017.7,6.2,6.4,14.0,20.0,48.0,30.0,0.04,5.1,0,1,1,0,0,0,439
5,2013,02,22,2013-02-22,30.0,17.2,1026.7,10.0,6.4,9.9,21.0,37.9,25.0,0.0,999.9,0,0,0,0,0,0,531
2,2016,02,16,2016-02-16,45.0,41.2,1010.7,4.1,6.5,15.0,35.0,53.6,30.9,0.46,999.9,1,1,0,0,0,0,615
6,2014,02,15,2014-02-15,35.6,23.9,1006.5,7.0,6.5,14.0,22.0,39.9,30.9,0.3,18.1,1,0,1,0,0,0,516
5,2016,02,12,2016-02-12,20.4,-1.8,1021.3,10.0,6.6,12.0,25.1,30.9,15.1,0.0,999.9,0,0,0,0,0,0,628
5,2018,02,02,2018-02-02,31.9,18.1,1014.7,9.2,6.7,13.0,24.1,45.0,21.0,0.23,999.9,0,1,0,0,0,0,617
3,2016,02,17,2016-02-17,39.1,26.7,1013.0,10.0,6.7,9.9,18.1,54.0,35.1,0.99,999.9,0,0,0,0,0,0,525
1,2018,02,05,2018-02-05,36.6,26.0,1013.9,8.1,6.8,13.0,26.0,46.0,28.9,0.96,999.9,0,1,0,0,0,0,706
4,2018,02,22,2018-02-22,48.7,39.0,1032.6,8.4,6.8,9.9,20.0,78.1,37.0,0.06,999.9,0,1,0,0,0,0,550
1,2015,02,02,2015-02-02,29.9,25.0,1008.1,3.0,6.8,15.0,26.0,36.0,19.9,0.71,5.9,1,1,1,0,0,0,680
4,2016,02,25,2016-02-25,52.6,44.7,992.1,8.5,6.9,12.0,32.1,61.0,36.0,1.11,999.9,0,1,0,0,0,0,663
6,2018,02,03,2018-02-03,21.8,2.6,1028.5,10.0,7.1,12.0,20.0,41.0,16.0,0.18,999.9,0,0,0,0,0,0,478
1,2016,02,29,2016-02-29,52.8,31.5,1005.0,9.7,7.1,12.0,20.0,61.0,37.9,0.0,999.9,0,1,0,0,0,0,616
7,2013,02,24,2013-02-24,39.3,32.4,1009.3,8.1,7.1,13.0,24.1,46.9,36.0,0.27,999.9,0,1,0,0,0,0,426
2,2015,02,03,2015-02-03,18.1,7.6,1019.8,8.9,7.2,12.0,26.0,34.0,12.9,0.34,7.1,0,0,0,0,0,0,740
2,2013,02,12,2013-02-12,41.9,28.8,1009.8,8.8,7.2,14.0,22.0,45.0,39.9,0.4,9.1,0,0,0,0,0,0,498
2,2014,02,25,2014-02-25,28.2,9.0,1016.7,10.0,7.3,14.0,22.0,44.1,24.1,0.0,5.9,0,0,0,0,0,0,513
5,2016,02,05,2016-02-05,37.4,26.2,1019.2,6.1,7.4,13.0,25.1,48.9,30.2,0.38,999.9,1,1,1,0,0,0,607
1,2014,02,24,2014-02-24,39.1,17.0,1011.6,10.0,7.6,13.0,22.9,54.0,32.0,0.0,9.1,0,0,0,0,0,0,569
5,2015,02,06,2015-02-06,17.9,-1.5,1022.5,10.0,7.6,12.0,24.1,27.0,12.0,0.0,7.9,0,0,0,0,0,0,652
7,2016,02,14,2016-02-14,6.9,-16.1,1030.3,10.0,7.6,14.0,31.1,21.9,-0.9,0.0,999.9,0,0,0,0,0,0,309
7,2017,02,26,2017-02-26,41.5,24.8,1012.3,9.2,7.6,13.0,24.1,63.0,36.0,0.54,999.9,0,1,0,0,0,0,462
