day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,NUM_COLLISIONS,Driver_Inattention,Following_Too_Close,Traffic_Control_Disregarded,Unsafe_Speed,Pavement_Slippery,Alcohol_Involvement,Reaction_Uninvolved_Vehicle,View_Obstructed,Outside_Car_Distraction,Pedestrian_Bicyclist_Confusion,Aggressive_Driving_Rage,Obstruction_Debris,Glare,Pavement_Defective,Animals_Action,Driverless_Runaway_Vehicle,Lighting_Defects,Tinted_Windows,Windshield_Inadequate
7,2013,01,20,2013-01-20,45.3,23.4,1009.8,10.0,9.7,15.9,31.1,53.1,39.9,0.0,999.9,0,0,0,69,45,0,9,0,0,4,1,0,4,0,0,6,0,0,0,0,0,0,0
4,2013,03,14,2013-03-14,35.6,13.6,1012.1,10.0,9.2,15.9,29.9,44.1,28.9,0.0,999.9,0,0,0,86,55,1,11,0,0,1,1,6,6,0,1,4,0,0,0,0,0,0,0
7,2016,01,10,2016-01-10,50.4,45.9,1004.8,5.3,8.2,15.9,26.0,59.0,39.9,0.77,999.9,0,1,0,123,61,1,18,2,7,13,3,4,6,0,3,5,0,0,0,0,0,0,0
1,2015,01,05,2015-01-05,40.9,19.1,1015.5,9.7,9.7,15.9,40.0,55.9,28.9,0.12,999.9,0,1,0,95,61,0,3,0,8,4,3,3,4,0,2,2,4,1,0,0,0,0,0
4,2014,03,27,2014-03-27,30.5,6.5,1026.3,10.0,6.7,15.9,26.0,44.1,21.9,0.0,999.9,0,0,0,93,66,0,5,0,0,5,2,3,4,0,3,1,2,1,1,0,0,0,0
3,2015,01,07,2015-01-07,20.7,5.7,1015.9,9.7,9.5,15.9,29.9,23.0,15.1,0.05,999.9,0,0,0,99,68,0,8,0,13,1,0,1,3,0,0,2,2,0,0,0,1,0,0
6,2015,01,17,2015-01-17,22.2,1.8,1026.1,10.0,6.5,15.9,26.0,43.0,17.1,0.0,999.9,0,0,0,112,70,1,9,0,4,11,1,2,7,0,3,0,4,0,0,0,0,0,0
1,2016,01,18,2016-01-18,27.1,11.4,1008.4,8.9,7.5,15.9,28.9,42.1,21.9,0.05,999.9,0,0,1,112,74,0,11,0,4,0,2,2,12,0,2,3,2,0,0,0,0,0,0
7,2014,12,07,2014-12-07,38.2,24.6,1028.6,9.1,10.4,15.9,31.1,50.0,34.0,1.09,999.9,0,1,0,130,77,1,11,0,6,9,2,2,9,0,4,3,2,4,0,0,0,0,0
3,2013,10,09,2013-10-09,58.3,42.3,1027.5,10.0,7.2,15.9,22.9,66.9,53.1,0.0,999.9,0,0,0,102,79,0,7,0,1,2,2,3,6,0,1,1,0,0,0,0,0,0,0
3,2015,02,11,2015-02-11,28.3,12.2,1017.2,10.0,7.8,15.9,24.1,39.9,21.9,0.01,7.9,0,0,0,124,80,0,10,1,12,0,0,0,13,0,2,0,5,0,1,0,0,0,0
1,2015,02,09,2015-02-09,27.7,21.0,1014.8,8.8,9.6,15.9,22.9,37.0,25.0,0.03,7.9,0,0,1,159,82,0,8,2,48,6,3,3,3,1,1,0,0,2,0,0,0,0,0
6,2015,04,04,2015-04-04,52.9,35.8,1008.5,8.6,7.4,15.9,29.9,64.0,46.0,0.05,999.9,0,1,0,130,84,0,14,0,2,7,2,1,12,0,3,3,2,0,0,0,0,0,0
2,2014,11,18,2014-11-18,35.4,16.3,1008.3,9.9,8.5,15.9,27.0,52.0,27.0,1.08,999.9,0,1,0,138,93,0,9,1,13,2,1,0,9,0,5,1,2,0,2,0,0,0,0
3,2014,11,26,2014-11-26,42.9,30.4,1018.5,6.4,6.6,15.9,28.9,52.0,34.0,0.01,999.9,0,1,1,165,100,0,11,3,32,4,1,5,5,0,1,1,1,0,0,0,0,0,1
5,2015,02,13,2015-02-13,16.1,-4.7,1017.2,10.0,8.8,15.9,28.0,39.9,8.1,0.0,7.9,0,0,0,154,108,0,8,2,4,3,1,1,10,0,4,2,11,0,0,0,0,0,0
2,2016,03,22,2016-03-22,43.2,17.8,1018.6,10.0,6.6,15.9,28.9,55.0,35.1,0.06,999.9,0,0,0,224,109,54,9,11,0,11,4,0,2,10,1,3,5,1,3,1,0,0,0
3,2017,03,15,2017-03-15,23.2,9.4,1001.4,9.8,10.4,15.9,26.0,32.0,19.9,1.36,3.9,0,0,0,299,119,72,3,6,67,1,8,3,1,3,2,14,0,0,0,0,0,0,0
7,2016,12,18,2016-12-18,45.5,41.8,1012.5,6.1,5.2,15.9,27.0,57.9,24.1,0.57,2.0,1,1,0,251,122,43,15,15,27,16,3,1,1,1,3,1,0,1,2,0,0,0,0
7,2018,04,15,2018-04-15,42.8,33.6,1024.3,9.2,10.6,15.9,27.0,52.0,37.9,0.0,999.9,0,1,0,262,131,52,15,14,12,13,8,7,1,2,2,2,1,0,1,0,1,0,0
7,2019,11,17,2019-11-17,35.8,15.8,1027.7,10.0,8.3,15.9,22.0,43.0,30.0,0.0,999.9,0,0,0,229,133,43,8,16,0,7,8,3,1,3,6,0,0,0,0,1,0,0,0
6,2018,03,03,2018-03-03,40.3,28.0,1012.0,10.0,9.2,15.9,27.0,48.9,34.0,0.94,999.9,0,0,0,263,142,58,11,5,1,12,18,3,2,3,3,3,0,1,1,0,0,0,0
3,2018,04,04,2018-04-04,46.7,39.0,1004.2,3.9,6.0,15.9,35.0,55.9,39.0,0.26,999.9,1,1,0,254,144,61,6,7,5,2,8,6,3,6,3,2,1,0,0,0,0,0,0
3,2017,02,15,2017-02-15,40.3,29.5,1000.1,9.4,4.6,15.9,25.1,46.9,28.0,0.0,2.0,0,0,0,272,149,57,21,12,7,3,7,2,1,6,3,2,2,0,0,0,0,0,0
5,2019,09,06,2019-09-06,64.8,57.2,1014.1,9.0,6.3,15.9,22.9,73.9,57.9,0.0,999.9,1,1,0,279,158,66,10,11,6,4,9,4,1,2,4,2,1,1,0,0,0,0,0
